variant,isin,base,nrd_z,our_z,delta,duration,margin_bps,rating,z_minus_g
V1e  spline conv spot_end,RU000A104XJ9,KEYRATE,1213,980,-233,0.482223,900,BB,
V1e  spline conv spot_end,RU000A105VQ5,KEYRATE,398,18,-380,0.249315,130,AAA,
V1e  spline conv spot_end,RU000A106037,KEYRATE,422,262,-160,0.249315,130,AAA,
V1e  spline conv spot_end,RU000A106565,KEYRATE,405,231,-174,0.249315,130,AAA,
V1e  spline conv spot_end,RU000A106J38,KEYRATE,88,316,228,0.019178,250,A,
V1e  spline conv spot_end,RU000A106TM6,KEYRATE,372,178,-194,0.079452,0,AAA,
V1e  spline conv spot_end,RU000A106ZU6,KEYRATE,418,253,-165,0.249315,120,AAA,
V1e  spline conv spot_end,RU000A1075S4,KEYRATE,318,178,-140,0.079452,110,AAA,
V1e  spline conv spot_end,RU000A1077V4,KEYRATE,346,108,-238,0.249315,200,AA,
V1e  spline conv spot_end,RU000A107AG6,KEYRATE,455,286,-169,0.082192,90,AA,
V1e  spline conv spot_end,RU000A107B35,KEYRATE,362,138,-224,0.079452,0,AAA,
V1e  spline conv spot_end,RU000A107DP1,KEYRATE,377,225,-152,0.084932,115,AAA,
V1e  spline conv spot_end,RU000A107EC7,KEYRATE,434,250,-184,0.079452,115,AAA,
V1e  spline conv spot_end,RU000A107F49,KEYRATE,449,273,-176,0.084932,0,AA,
V1e  spline conv spot_end,RU000A107HR8,KEYRATE,412,255,-157,0.249315,250,AA,
V1e  spline conv spot_end,RU000A107R29,KEYRATE,580,490,-90,2.057041,400,BB,
V1e  spline conv spot_end,RU000A107SG8,KEYRATE,16988,210,-16778,0.08925,300,BBB,
V1e  spline conv spot_end,RU000A107TT9,KEYRATE,783,149,-634,0.249315,230,AA,
V1e  spline conv spot_end,RU000A107W55,KEYRATE,331,126,-205,0.079452,2,AAA,
V1e  spline conv spot_end,RU000A107WL0,KEYRATE,286,24,-262,0.189041,110,AAA,
V1e  spline conv spot_end,RU000A1083A6,KEYRATE,366,200,-166,0.082192,130,AAA,
V1e  spline conv spot_end,RU000A108462,KEYRATE,1371,1158,-213,0.657237,600,BB,
V1e  spline conv spot_end,RU000A108A19,KEYRATE,107,1808,1701,0.705088,300,BB,
V1e  spline conv spot_end,RU000A108DE3,KEYRATE,813,393,-420,0.249315,215,AA,
V1e  spline conv spot_end,RU000A108JV4,KEYRATE,440,269,-171,0.084932,125,AAA,
V1e  spline conv spot_end,RU000A108LN7,KEYRATE,1431,1192,-239,0.828246,425,BBB,
V1e  spline conv spot_end,RU000A108P61,KEYRATE,450,246,-204,0.076712,115,AAA,
V1e  spline conv spot_end,RU000A108RP9,KEYRATE,458,290,-168,0.249315,220,AA,
V1e  spline conv spot_end,RU000A108VL0,KEYRATE,453,273,-180,0.079452,50,AA,
V1e  spline conv spot_end,RU000A1090K0,KEYRATE,256,100,-156,0.032877,100,AA,
V1e  spline conv spot_end,RU000A109221,KEYRATE,2443,1926,-517,0.936189,400,BBB,
V1e  spline conv spot_end,RU000A109312,KEYRATE,421,251,-170,0.249315,130,AAA,
V1e  spline conv spot_end,RU000A109825,KEYRATE,645,-62,-707,0.089384,200,A,
V1e  spline conv spot_end,RU000A109981,KEYRATE,880,747,-133,1.051582,300,A,
V1e  spline conv spot_end,RU000A1099A2,KEYRATE,465,287,-178,0.076712,140,AA,
V1e  spline conv spot_end,RU000A1099E4,KEYRATE,342,198,-144,1.00544,140,AA,
V1e  spline conv spot_end,RU000A109DT9,KEYRATE,530,345,-185,0.084932,170,AA,
V1e  spline conv spot_end,RU000A109JX8,KEYRATE,1055,892,-163,1.048555,425,BBB,
V1e  spline conv spot_end,RU000A109K40,KEYRATE,322,164,-158,0.084932,110,AAA,
V1e  spline conv spot_end,RU000A109KL1,KEYRATE,306,80,-226,0.082192,0,AAA,
V1e  spline conv spot_end,RU000A109KV0,KEYRATE,514,331,-183,0.191327,275,A,
V1e  spline conv spot_end,RU000A109KW8,KEYRATE,425,104,-321,0.079452,120,AAA,
V1e  spline conv spot_end,RU000A109KY4,KEYRATE,471,299,-172,0.249315,230,AA,
V1e  spline conv spot_end,RU000A109LC8,KEYRATE,1138,802,-336,0.087671,300,A,
V1e  spline conv spot_end,RU000A109S91,KEYRATE,361,189,-172,0.084932,114,AAA,
V1e  spline conv spot_end,RU000A109SP5,KEYRATE,1865,1404,-461,0.082192,300,BBB,
V1e  spline conv spot_end,RU000A109TJ6,KEYRATE,452,280,-172,0.084932,150,AAA,
V1e  spline conv spot_end,RU000A109U97,KEYRATE,327,159,-168,0.082192,125,AAA,
V1e  spline conv spot_end,RU000A10A349,KEYRATE,321,151,-170,0.082192,200,AAA,
V1e  spline conv spot_end,RU000A10A398,KEYRATE,486,377,-109,0.335666,450,A,
V1e  spline conv spot_end,RU000A10A4S7,KEYRATE,275,219,-56,0.082192,200,AAA,
V1e  spline conv spot_end,RU000A10AAU6,KEYRATE,-30,-51,-21,0.437535,500,A,
V1e  spline conv spot_end,RU000A10AEG7,KEYRATE,463,576,113,0.42467,600,A,
V1e  spline conv spot_end,RU000A10AHD7,KEYRATE,1275,750,-525,0.079452,675,BBB,
V1e  spline conv spot_end,RU000A10ASD4,KEYRATE,945,694,-251,0.076712,600,A,
V1e  spline conv spot_end,RU000A10B4T4,KEYRATE,2373,1513,-860,0.084932,650,B,
V1e  spline conv spot_end,RU000A10BBD8,KEYRATE,491,330,-161,0.079452,425,A,
V1e  spline conv spot_end,RU000A10BQF1,KEYRATE,461,127,-334,0.082192,400,A,
V1e  spline conv spot_end,RU000A10BQX4,KEYRATE,335,199,-136,0.087671,190,AA,
V1e  spline conv spot_end,RU000A10BRR4,KEYRATE,415,262,-153,0.076712,185,AAA,
V1e  spline conv spot_end,RU000A10BZQ9,KEYRATE,515,461,-54,0.087671,350,A,
V1e  spline conv spot_end,RU000A10C329,KEYRATE,414,362,-52,0.927028,280,A,
V1e  spline conv spot_end,RU000A10C3P3,KEYRATE,2023,1647,-376,1.628725,500,BBB,
V1e  spline conv spot_end,RU000A10C5U8,KEYRATE,694,84,-610,0.076712,325,A,
V1e  spline conv spot_end,RU000A10CN62,KEYRATE,901,707,-194,0.611106,600,BBB,
V1e  spline conv spot_end,RU000A10D1W2,KEYRATE,457,290,-167,0.082192,115,AAA,
V1e  spline conv spot_end,RU000A10D2Q2,KEYRATE,441,272,-169,0.082192,140,AAA,
V1e  spline conv spot_end,RU000A10D459,KEYRATE,384,228,-156,0.082192,165,AAA,
V1e  spline conv spot_end,RU000A10DC15,KEYRATE,673,319,-354,0.076712,350,A,
V1e  spline conv spot_end,RU000A10DFN4,KEYRATE,373,141,-232,0.082192,175,AAA,
V1e  spline conv spot_end,RU000A10DLE1,KEYRATE,375,207,-168,0.084932,150,AAA,
V1e  spline conv spot_end,RU000A10DRF5,KEYRATE,404,242,-162,0.082192,160,AAA,
V1e  spline conv spot_end,RU000A10E6Q2,KEYRATE,410,-104,-514,0.079452,130,AAA,
V1e  spline conv spot_end,RU000A10E8N5,KEYRATE,411,137,-274,0.076712,175,AAA,
V1e  spline conv spot_end,RU000A10ECM1,KEYRATE,411,243,-168,0.084932,150,AAA,
V1e  spline conv spot_end,RU000A10EF11,KEYRATE,416,365,-51,1.43416,220,A,
V1e  spline conv spot_end,RU000A10EG28,KEYRATE,220,188,-32,2.14552,195,AA,
V1e  spline conv spot_end,RU000A10ELF6,KEYRATE,465,-55,-520,0.087671,165,AAA,
V1e  spline conv spot_end,RU000A10ERV0,KEYRATE,412,242,-170,0.082192,140,AA,
V1e  spline conv spot_end,RU000A10ES57,KEYRATE,372,210,-162,0.082192,150,AAA,
V1e  spline conv spot_end,RU000A10F8N4,KEYRATE,386,-192,-578,0.082192,150,AAA,
V1e  spline conv spot_end,RU000A10FA64,KEYRATE,532,345,-187,0.087671,280,A,
V1e  spline conv spot_end,RU000A10FAN0,KEYRATE,372,215,-157,0.084932,135,AAA,
V1e  spline conv spot_end,RU000A10FBH0,KEYRATE,99,53,-46,0.076712,100,AAA,
V2   spfi spot_start,RU000A0JQAM6,KEYRATE,-167,-252,-85,0.49589,250,AAA,
V2   spfi spot_start,RU000A0JXE06,KEYRATE,419,74,-345,0.249315,220,AA,
V2   spfi spot_start,RU000A0ZZ1J8,KEYRATE,431,81,-350,0.249315,250,AA,
V2   spfi spot_start,RU000A0ZZ1M2,KEYRATE,404,59,-345,0.49863,50,AA,
V2   spfi spot_start,RU000A1006C3,KEYRATE,3296,1040,-2256,1.850282,625,B,
V2   spfi spot_start,RU000A1013N6,KEYRATE,3073,1158,-1915,0.082192,600,B,
V2   spfi spot_start,RU000A102VR0,KEYRATE,379,34,-345,0.249315,210,AA,
V2   spfi spot_start,RU000A1038M5,KEYRATE,380,33,-347,0.249315,215,AA,
V2   spfi spot_start,RU000A103M36,KEYRATE,463,110,-353,0.249315,250,A,
V2   spfi spot_start,RU000A104XJ9,KEYRATE,1213,927,-286,0.482223,900,BB,
V2   spfi spot_start,RU000A105VQ5,KEYRATE,398,-139,-537,0.249315,130,AAA,
V2   spfi spot_start,RU000A106037,KEYRATE,422,117,-305,0.249315,130,AAA,
V2   spfi spot_start,RU000A106565,KEYRATE,405,74,-331,0.249315,130,AAA,
V2   spfi spot_start,RU000A106J38,KEYRATE,88,169,81,0.019178,250,A,
V2   spfi spot_start,RU000A106TM6,KEYRATE,372,178,-194,0.079452,0,AAA,
V2   spfi spot_start,RU000A106ZU6,KEYRATE,418,86,-332,0.249315,120,AAA,
V2   spfi spot_start,RU000A1075S4,KEYRATE,318,96,-222,0.079452,110,AAA,
V2   spfi spot_start,RU000A1077V4,KEYRATE,346,-51,-397,0.249315,200,AA,
V2   spfi spot_start,RU000A107AG6,KEYRATE,455,150,-305,0.082192,90,AA,
V2   spfi spot_start,RU000A107B35,KEYRATE,362,138,-224,0.079452,0,AAA,
V2   spfi spot_start,RU000A107DP1,KEYRATE,377,143,-234,0.084932,115,AAA,
V2   spfi spot_start,RU000A107EC7,KEYRATE,434,96,-338,0.079452,115,AAA,
V2   spfi spot_start,RU000A107F49,KEYRATE,449,130,-319,0.084932,0,AA,
V2   spfi spot_start,RU000A107HR8,KEYRATE,412,199,-213,0.249315,250,AA,
V2   spfi spot_start,RU000A107R29,KEYRATE,580,326,-254,2.057041,400,BB,
V2   spfi spot_start,RU000A107SG8,KEYRATE,16988,43,-16945,0.08925,300,BBB,
V2   spfi spot_start,RU000A107TT9,KEYRATE,783,-9,-792,0.249315,230,AA,
V2   spfi spot_start,RU000A107W55,KEYRATE,331,126,-205,0.079452,2,AAA,
V2   spfi spot_start,RU000A107WL0,KEYRATE,286,-135,-421,0.189041,110,AAA,
V2   spfi spot_start,RU000A1083A6,KEYRATE,366,27,-339,0.082192,130,AAA,
V2   spfi spot_start,RU000A108462,KEYRATE,1371,1039,-332,0.657237,600,BB,
V2   spfi spot_start,RU000A108A19,KEYRATE,107,1688,1581,0.705088,300,BB,
V2   spfi spot_start,RU000A108DE3,KEYRATE,813,226,-587,0.249315,215,AA,
V2   spfi spot_start,RU000A108JV4,KEYRATE,440,103,-337,0.084932,125,AAA,
V2   spfi spot_start,RU000A108LN7,KEYRATE,1431,1054,-377,0.828246,425,BBB,
V2   spfi spot_start,RU000A108P61,KEYRATE,450,111,-339,0.076712,115,AAA,
V2   spfi spot_start,RU000A108RP9,KEYRATE,458,171,-287,0.249315,220,AA,
V2   spfi spot_start,RU000A108VL0,KEYRATE,453,114,-339,0.079452,50,AA,
V2   spfi spot_start,RU000A1090K0,KEYRATE,256,100,-156,0.032877,100,AA,
V2   spfi spot_start,RU000A109221,KEYRATE,2443,1781,-662,0.936189,400,BBB,
V2   spfi spot_start,RU000A109312,KEYRATE,421,90,-331,0.249315,130,AAA,
V2   spfi spot_start,RU000A109825,KEYRATE,645,-222,-867,0.089384,200,A,
V2   spfi spot_start,RU000A109981,KEYRATE,880,593,-287,1.051582,300,A,
V2   spfi spot_start,RU000A1099A2,KEYRATE,465,137,-328,0.076712,140,AA,
V2   spfi spot_start,RU000A1099E4,KEYRATE,342,27,-315,1.00544,140,AA,
V2   spfi spot_start,RU000A109DT9,KEYRATE,530,193,-337,0.084932,170,AA,
V2   spfi spot_start,RU000A109JX8,KEYRATE,1055,738,-317,1.048555,425,BBB,
V2   spfi spot_start,RU000A109K40,KEYRATE,322,79,-243,0.084932,110,AAA,
V2   spfi spot_start,RU000A109KL1,KEYRATE,306,80,-226,0.082192,0,AAA,
V2   spfi spot_start,RU000A109KV0,KEYRATE,514,160,-354,0.191327,275,A,
V2   spfi spot_start,RU000A109KW8,KEYRATE,425,-62,-487,0.079452,120,AAA,
V2   spfi spot_start,RU000A109KY4,KEYRATE,471,169,-302,0.249315,230,AA,
V2   spfi spot_start,RU000A109LC8,KEYRATE,1138,649,-489,0.087671,300,A,
V2   spfi spot_start,RU000A109S91,KEYRATE,361,94,-267,0.084932,114,AAA,
V2   spfi spot_start,RU000A109SP5,KEYRATE,1865,1242,-623,0.082192,300,BBB,
V2   spfi spot_start,RU000A109TJ6,KEYRATE,452,130,-322,0.084932,150,AAA,
V2   spfi spot_start,RU000A109U97,KEYRATE,327,78,-249,0.082192,125,AAA,
V2   spfi spot_start,RU000A10A349,KEYRATE,321,56,-265,0.082192,200,AAA,
V2   spfi spot_start,RU000A10A398,KEYRATE,486,283,-203,0.335666,450,A,
V2   spfi spot_start,RU000A10A4S7,KEYRATE,275,50,-225,0.082192,200,AAA,
V2   spfi spot_start,RU000A10AAU6,KEYRATE,-30,-141,-111,0.437535,500,A,
V2   spfi spot_start,RU000A10AEG7,KEYRATE,463,409,-54,0.42467,600,A,
V2   spfi spot_start,RU000A10AHD7,KEYRATE,1275,750,-525,0.079452,675,BBB,
V2   spfi spot_start,RU000A10ASD4,KEYRATE,945,594,-351,0.076712,600,A,
V2   spfi spot_start,RU000A10B4T4,KEYRATE,2373,1513,-860,0.084932,650,B,
V2   spfi spot_start,RU000A10BBD8,KEYRATE,491,203,-288,0.079452,425,A,
V2   spfi spot_start,RU000A10BQF1,KEYRATE,461,-36,-497,0.082192,400,A,
V2   spfi spot_start,RU000A10BQX4,KEYRATE,335,64,-271,0.087671,190,AA,
V2   spfi spot_start,RU000A10BRR4,KEYRATE,415,118,-297,0.076712,185,AAA,
V2   spfi spot_start,RU000A10BZQ9,KEYRATE,515,291,-224,0.087671,350,A,
V2   spfi spot_start,RU000A10C329,KEYRATE,414,215,-199,0.927028,280,A,
V2   spfi spot_start,RU000A10C3P3,KEYRATE,2023,1465,-558,1.628725,500,BBB,
V2   spfi spot_start,RU000A10C5U8,KEYRATE,694,-81,-775,0.076712,325,A,
V2   spfi spot_start,RU000A10CN62,KEYRATE,901,535,-366,0.611106,600,BBB,
V2   spfi spot_start,RU000A10D1W2,KEYRATE,457,132,-325,0.082192,115,AAA,
V2   spfi spot_start,RU000A10D2Q2,KEYRATE,441,117,-324,0.082192,140,AAA,
V2   spfi spot_start,RU000A10D459,KEYRATE,384,75,-309,0.082192,165,AAA,
V2   spfi spot_start,RU000A10DC15,KEYRATE,673,154,-519,0.076712,350,A,
V2   spfi spot_start,RU000A10DFN4,KEYRATE,373,-24,-397,0.082192,175,AAA,
V2   spfi spot_start,RU000A10DLE1,KEYRATE,375,36,-339,0.084932,150,AAA,
V2   spfi spot_start,RU000A10DRF5,KEYRATE,404,68,-336,0.082192,160,AAA,
V2   spfi spot_start,RU000A10E6Q2,KEYRATE,410,-268,-678,0.079452,130,AAA,
V2   spfi spot_start,RU000A10E8N5,KEYRATE,411,-28,-439,0.076712,175,AAA,
V2   spfi spot_start,RU000A10ECM1,KEYRATE,411,74,-337,0.084932,150,AAA,
V2   spfi spot_start,RU000A10EF11,KEYRATE,416,200,-216,1.43416,220,A,
V2   spfi spot_start,RU000A10EG28,KEYRATE,220,15,-205,2.14552,195,AA,
V2   spfi spot_start,RU000A10ELF6,KEYRATE,465,-220,-685,0.087671,165,AAA,
V2   spfi spot_start,RU000A10ERV0,KEYRATE,412,68,-344,0.082192,140,AA,
V2   spfi spot_start,RU000A10ES57,KEYRATE,372,36,-336,0.082192,150,AAA,
V2   spfi spot_start,RU000A10F8N4,KEYRATE,386,-356,-742,0.082192,150,AAA,
V2   spfi spot_start,RU000A10FA64,KEYRATE,532,171,-361,0.087671,280,A,
V2   spfi spot_start,RU000A10FAN0,KEYRATE,372,41,-331,0.084932,135,AAA,
V2   spfi spot_start,RU000A10FBH0,KEYRATE,99,-115,-214,0.076712,100,AAA,
V3f  nrdspl conv fwd,RU000A0JQAM6,KEYRATE,-167,-117,50,0.49589,250,AAA,
V3f  nrdspl conv fwd,RU000A0JXE06,KEYRATE,419,232,-187,0.249315,220,AA,
V3f  nrdspl conv fwd,RU000A0ZZ1J8,KEYRATE,431,236,-195,0.249315,250,AA,
V3f  nrdspl conv fwd,RU000A0ZZ1M2,KEYRATE,404,196,-208,0.49863,50,AA,
V3f  nrdspl conv fwd,RU000A1006C3,KEYRATE,3296,1040,-2256,1.850282,625,B,
V3f  nrdspl conv fwd,RU000A1013N6,KEYRATE,3073,1158,-1915,0.082192,600,B,
V3f  nrdspl conv fwd,RU000A102VR0,KEYRATE,379,197,-182,0.249315,210,AA,
V3f  nrdspl conv fwd,RU000A1038M5,KEYRATE,380,195,-185,0.249315,215,AA,
V3f  nrdspl conv fwd,RU000A103M36,KEYRATE,463,267,-196,0.249315,250,A,
V3f  nrdspl conv fwd,RU000A104XJ9,KEYRATE,1213,988,-225,0.482223,900,BB,
V3f  nrdspl conv fwd,RU000A105VQ5,KEYRATE,398,-134,-532,0.249315,130,AAA,
V3f  nrdspl conv fwd,RU000A106037,KEYRATE,422,260,-162,0.249315,130,AAA,
V3f  nrdspl conv fwd,RU000A106565,KEYRATE,405,228,-177,0.249315,130,AAA,
V3f  nrdspl conv fwd,RU000A106J38,KEYRATE,88,309,221,0.019178,250,A,
V3f  nrdspl conv fwd,RU000A106TM6,KEYRATE,372,178,-194,0.079452,0,AAA,
V3f  nrdspl conv fwd,RU000A106ZU6,KEYRATE,418,244,-174,0.249315,120,AAA,
V3f  nrdspl conv fwd,RU000A1075S4,KEYRATE,318,180,-138,0.079452,110,AAA,
V3f  nrdspl conv fwd,RU000A1077V4,KEYRATE,346,107,-239,0.249315,200,AA,
V3f  nrdspl conv fwd,RU000A107AG6,KEYRATE,455,304,-151,0.082192,90,AA,
V3f  nrdspl conv fwd,RU000A107B35,KEYRATE,362,138,-224,0.079452,0,AAA,
V3f  nrdspl conv fwd,RU000A107DP1,KEYRATE,377,233,-144,0.084932,115,AAA,
V3f  nrdspl conv fwd,RU000A107EC7,KEYRATE,434,254,-180,0.079452,115,AAA,
V3f  nrdspl conv fwd,RU000A107F49,KEYRATE,449,289,-160,0.084932,0,AA,
V3f  nrdspl conv fwd,RU000A107HR8,KEYRATE,412,263,-149,0.249315,250,AA,
V3f  nrdspl conv fwd,RU000A107R29,KEYRATE,580,478,-102,2.057041,400,BB,
V3f  nrdspl conv fwd,RU000A107SG8,KEYRATE,16988,206,-16782,0.08925,300,BBB,
V3f  nrdspl conv fwd,RU000A107TT9,KEYRATE,783,-44,-827,0.249315,230,AA,
V3f  nrdspl conv fwd,RU000A107W55,KEYRATE,331,126,-205,0.079452,2,AAA,
V3f  nrdspl conv fwd,RU000A107WL0,KEYRATE,286,23,-263,0.189041,110,AAA,
V3f  nrdspl conv fwd,RU000A1083A6,KEYRATE,366,188,-178,0.082192,130,AAA,
V3f  nrdspl conv fwd,RU000A108462,KEYRATE,1371,1176,-195,0.657237,600,BB,
V3f  nrdspl conv fwd,RU000A108A19,KEYRATE,107,1828,1721,0.705088,300,BB,
V3f  nrdspl conv fwd,RU000A108DE3,KEYRATE,813,381,-432,0.249315,215,AA,
V3f  nrdspl conv fwd,RU000A108JV4,KEYRATE,440,266,-174,0.084932,125,AAA,
V3f  nrdspl conv fwd,RU000A108LN7,KEYRATE,1431,1210,-221,0.828246,425,BBB,
V3f  nrdspl conv fwd,RU000A108P61,KEYRATE,450,263,-187,0.076712,115,AAA,
V3f  nrdspl conv fwd,RU000A108RP9,KEYRATE,458,302,-156,0.249315,220,AA,
V3f  nrdspl conv fwd,RU000A108VL0,KEYRATE,453,274,-179,0.079452,50,AA,
V3f  nrdspl conv fwd,RU000A1090K0,KEYRATE,256,100,-156,0.032877,100,AA,
V3f  nrdspl conv fwd,RU000A109221,KEYRATE,2443,1937,-506,0.936189,400,BBB,
V3f  nrdspl conv fwd,RU000A109312,KEYRATE,421,244,-177,0.249315,130,AAA,
V3f  nrdspl conv fwd,RU000A109825,KEYRATE,645,-66,-711,0.089384,200,A,
V3f  nrdspl conv fwd,RU000A109981,KEYRATE,880,758,-122,1.051582,300,A,
V3f  nrdspl conv fwd,RU000A1099A2,KEYRATE,465,299,-166,0.076712,140,AA,
V3f  nrdspl conv fwd,RU000A1099E4,KEYRATE,342,187,-155,1.00544,140,AA,
V3f  nrdspl conv fwd,RU000A109DT9,KEYRATE,530,354,-176,0.084932,170,AA,
V3f  nrdspl conv fwd,RU000A109JX8,KEYRATE,1055,902,-153,1.048555,425,BBB,
V3f  nrdspl conv fwd,RU000A109K40,KEYRATE,322,164,-158,0.084932,110,AAA,
V3f  nrdspl conv fwd,RU000A109KL1,KEYRATE,306,80,-226,0.082192,0,AAA,
V3f  nrdspl conv fwd,RU000A109KV0,KEYRATE,514,320,-194,0.191327,275,A,
V3f  nrdspl conv fwd,RU000A109KW8,KEYRATE,425,102,-323,0.079452,120,AAA,
V3f  nrdspl conv fwd,RU000A109KY4,KEYRATE,471,306,-165,0.249315,230,AA,
V3f  nrdspl conv fwd,RU000A109LC8,KEYRATE,1138,812,-326,0.087671,300,A,
V3f  nrdspl conv fwd,RU000A109S91,KEYRATE,361,189,-172,0.084932,114,AAA,
V3f  nrdspl conv fwd,RU000A109SP5,KEYRATE,1865,1413,-452,0.082192,300,BBB,
V3f  nrdspl conv fwd,RU000A109TJ6,KEYRATE,452,287,-165,0.084932,150,AAA,
V3f  nrdspl conv fwd,RU000A109U97,KEYRATE,327,161,-166,0.082192,125,AAA,
V3f  nrdspl conv fwd,RU000A10A349,KEYRATE,321,155,-166,0.082192,200,AAA,
V3f  nrdspl conv fwd,RU000A10A398,KEYRATE,486,382,-104,0.335666,450,A,
V3f  nrdspl conv fwd,RU000A10A4S7,KEYRATE,275,209,-66,0.082192,200,AAA,
V3f  nrdspl conv fwd,RU000A10AAU6,KEYRATE,-30,-42,-12,0.437535,500,A,
V3f  nrdspl conv fwd,RU000A10AEG7,KEYRATE,463,567,104,0.42467,600,A,
V3f  nrdspl conv fwd,RU000A10AHD7,KEYRATE,1275,750,-525,0.079452,675,BBB,
V3f  nrdspl conv fwd,RU000A10ASD4,KEYRATE,945,707,-238,0.076712,600,A,
V3f  nrdspl conv fwd,RU000A10B4T4,KEYRATE,2373,1513,-860,0.084932,650,B,
V3f  nrdspl conv fwd,RU000A10BBD8,KEYRATE,491,349,-142,0.079452,425,A,
V3f  nrdspl conv fwd,RU000A10BQF1,KEYRATE,461,125,-336,0.082192,400,A,
V3f  nrdspl conv fwd,RU000A10BQX4,KEYRATE,335,216,-119,0.087671,190,AA,
V3f  nrdspl conv fwd,RU000A10BRR4,KEYRATE,415,279,-136,0.076712,185,AAA,
V3f  nrdspl conv fwd,RU000A10BZQ9,KEYRATE,515,456,-59,0.087671,350,A,
V3f  nrdspl conv fwd,RU000A10C329,KEYRATE,414,376,-38,0.927028,280,A,
V3f  nrdspl conv fwd,RU000A10C3P3,KEYRATE,2023,1643,-380,1.628725,500,BBB,
V3f  nrdspl conv fwd,RU000A10C5U8,KEYRATE,694,83,-611,0.076712,325,A,
V3f  nrdspl conv fwd,RU000A10CN62,KEYRATE,901,700,-201,0.611106,600,BBB,
V3f  nrdspl conv fwd,RU000A10D1W2,KEYRATE,457,296,-161,0.082192,115,AAA,
V3f  nrdspl conv fwd,RU000A10D2Q2,KEYRATE,441,280,-161,0.082192,140,AAA,
V3f  nrdspl conv fwd,RU000A10D459,KEYRATE,384,236,-148,0.082192,165,AAA,
V3f  nrdspl conv fwd,RU000A10DC15,KEYRATE,673,316,-357,0.076712,350,A,
V3f  nrdspl conv fwd,RU000A10DFN4,KEYRATE,373,139,-234,0.082192,175,AAA,
V3f  nrdspl conv fwd,RU000A10DLE1,KEYRATE,375,195,-180,0.084932,150,AAA,
V3f  nrdspl conv fwd,RU000A10DRF5,KEYRATE,404,232,-172,0.082192,160,AAA,
V3f  nrdspl conv fwd,RU000A10E6Q2,KEYRATE,410,-104,-514,0.079452,130,AAA,
V3f  nrdspl conv fwd,RU000A10E8N5,KEYRATE,411,134,-277,0.076712,175,AAA,
V3f  nrdspl conv fwd,RU000A10ECM1,KEYRATE,411,236,-175,0.084932,150,AAA,
V3f  nrdspl conv fwd,RU000A10EF11,KEYRATE,416,365,-51,1.43416,220,A,
V3f  nrdspl conv fwd,RU000A10EG28,KEYRATE,220,176,-44,2.14552,195,AA,
V3f  nrdspl conv fwd,RU000A10ELF6,KEYRATE,465,-55,-520,0.087671,165,AAA,
V3f  nrdspl conv fwd,RU000A10ERV0,KEYRATE,412,233,-179,0.082192,140,AA,
V3f  nrdspl conv fwd,RU000A10ES57,KEYRATE,372,198,-174,0.082192,150,AAA,
V3f  nrdspl conv fwd,RU000A10F8N4,KEYRATE,386,-191,-577,0.082192,150,AAA,
V3f  nrdspl conv fwd,RU000A10FA64,KEYRATE,532,333,-199,0.087671,280,A,
V3f  nrdspl conv fwd,RU000A10FAN0,KEYRATE,372,203,-169,0.084932,135,AAA,
V3f  nrdspl conv fwd,RU000A10FBH0,KEYRATE,99,44,-55,0.076712,100,AAA,
V7   ytm−G spline conv fwd,RU000A0JQAM6,KEYRATE,-167,24,191,0.49589,250,AAA,
V7   ytm−G spline conv fwd,RU000A0JXE06,KEYRATE,419,557,138,0.249315,220,AA,
V7   ytm−G spline conv fwd,RU000A0ZZ1J8,KEYRATE,431,586,155,0.249315,250,AA,
V7   ytm−G spline conv fwd,RU000A0ZZ1M2,KEYRATE,404,359,-45,0.49863,50,AA,
V7   ytm−G spline conv fwd,RU000A1006C3,KEYRATE,3296,1431,-1865,1.850282,625,B,
V7   ytm−G spline conv fwd,RU000A1013N6,KEYRATE,3073,1620,-1453,0.082192,600,B,
V7   ytm−G spline conv fwd,RU000A102VR0,KEYRATE,379,574,195,0.249315,210,AA,
V7   ytm−G spline conv fwd,RU000A1038M5,KEYRATE,380,573,193,0.249315,215,AA,
V7   ytm−G spline conv fwd,RU000A103M36,KEYRATE,463,587,124,0.249315,250,A,
V7   ytm−G spline conv fwd,RU000A104XJ9,KEYRATE,1213,1267,54,0.482223,900,BB,
V7   ytm−G spline conv fwd,RU000A105VQ5,KEYRATE,398,379,-19,0.249315,130,AAA,
V7   ytm−G spline conv fwd,RU000A106037,KEYRATE,422,415,-7,0.249315,130,AAA,
V7   ytm−G spline conv fwd,RU000A106565,KEYRATE,405,381,-24,0.249315,130,AAA,
V7   ytm−G spline conv fwd,RU000A106J38,KEYRATE,88,507,419,0.019178,250,A,
V7   ytm−G spline conv fwd,RU000A106TM6,KEYRATE,372,304,-68,0.079452,0,AAA,
V7   ytm−G spline conv fwd,RU000A106ZU6,KEYRATE,418,428,10,0.249315,120,AAA,
V7   ytm−G spline conv fwd,RU000A1075S4,KEYRATE,318,303,-15,0.079452,110,AAA,
V7   ytm−G spline conv fwd,RU000A1077V4,KEYRATE,346,445,99,0.249315,200,AA,
V7   ytm−G spline conv fwd,RU000A107AG6,KEYRATE,455,426,-29,0.082192,90,AA,
V7   ytm−G spline conv fwd,RU000A107B35,KEYRATE,362,244,-118,0.079452,0,AAA,
